# SCE Subscribers @2019-10-09T19:19:48Z
# CSV line format: subscriber-id, domain, mappings, package-id
68b6fce9f040,,78.29.175.130,1100
2ca17d60f9d3,,78.29.188.149,1200
84948c091440,,81.20.244.223,1100
84948c66c650,,128.65.228.50,1100
84948c80b040,,128.65.243.6,1100
84948cf7dde0,,78.29.146.25,1100
bc4dfb50a390,,78.29.146.172,1100
bc4dfb513f30,,78.29.151.180,1060
84948c069980,,128.65.243.130,1100
00265b899230,,78.29.167.34,1030
bc4dfb5093f0,,78.29.190.140,1100
2ca17d64629d,,78.29.155.197,1100
00fc8dbf8270,,128.65.245.229,1200
bc4dfb510d20,,78.29.162.138,1120
7c26343d3bc4,,78.29.186.117,1100
0c473d114650,,78.29.133.107,1100
2ca17d6a527d,,78.29.135.10,1200
f0f249c3cd30,,78.29.147.7,1100
0005ca94fea0,,78.29.153.187,1100
84948ca0a010,,81.20.252.202,1100
a84e3f1ae910,,128.65.229.187,1020
1cabc0cd5460,,78.29.176.228,1100
2ca17d58fd35,,78.29.189.245,1100
84948cef88b0,,78.29.128.154,1200
bc4dfb503cf0,,78.29.134.53,1100
00265b31f3e0,,81.20.244.42,1030
84948c08ea20,,81.20.252.176,1100
2ca17d6a3171,,128.65.238.189,1200
1cabc0dd6350,,78.29.173.81,1100
2c1db88e6daa,,81.20.249.197,1100
a84e3f2d8720,,78.29.180.53,1100
f0f249c3a740,,78.29.137.96,1200
0005cae2f6f0,,78.29.149.169,1100
2ca17d5e06e1,,81.20.248.96,1100
00fc8dbefe40,,128.65.242.57,1100
bc1401b005d0,,128.65.248.61,1100
a84e3f356b60,,78.29.147.196,1100
0c473d1125c0,,78.29.179.50,1120
84948c0443d0,,78.29.141.225,1100
84948ca66620,,78.29.156.101,1100
bc140167dbd0,,78.29.157.95,1100
2ca17d5dfc31,,81.20.246.20,1120
bc4dfb50bcd0,,81.20.246.48,1100
00265b7e09d0,,78.29.161.223,1100
a84e3f2c7bb0,,78.29.175.69,1100
f0f249c60370,,78.29.176.187,1100
bc1401a07bc0,,78.29.135.219,1100
0c473d129280,,128.65.248.17,1100
1cabc01fb970,,128.65.254.60,1200
1cabc0f26960,,78.29.165.38,1100
84948ca07630,,78.29.178.16,1100
